paragraph_id,word,bio_tag
1,"""Yes,",O
1,of,O
1,"course,",O
1,if,O
1,it's,O
1,fine,O
1,"tomorrow,""",O
1,said,O
1,Mrs.,O
1,Ramsay.,O
1,"""But",O
1,you'll,O
1,have,O
1,to,O
1,be,O
1,up,O
1,with,O
1,the,O
1,"lark,""",O
1,she,O
1,added.,O
2,To,O
2,her,O
2,son,O
2,these,O
2,words,O
2,conveyed,O
2,an,O
2,extraordinary,O
2,"joy,",O
2,as,O
2,if,O
2,it,O
2,were,O
2,"settled,",O
2,the,O
2,expedition,O
2,were,O
2,bound,O
2,to,O
2,take,O
2,"place,",O
2,and,O
2,the,O
2,wonder,O
2,to,O
2,which,O
2,he,O
2,had,O
2,looked,O
2,"forward,",O
2,for,O
2,years,O
2,and,O
2,years,O
2,it,O
2,"seemed,",O
2,"was,",O
2,after,O
2,a,O
2,night's,O
2,darkness,O
2,and,O
2,a,O
2,day's,O
2,"sail,",O
2,within,O
2,touch.,O
2,Since,O
2,he,O
2,"belonged,",O
2,even,O
2,at,O
2,the,O
2,age,O
2,of,O
2,"six,",O
2,to,O
2,that,O
2,great,O
2,clan,O
2,which,O
2,cannot,O
2,keep,O
2,this,O
2,feeling,O
2,separate,O
2,from,O
2,"that,",O
2,but,O
2,must,O
2,let,O
2,future,O
2,"prospects,",O
2,with,O
2,their,O
2,joys,O
2,and,O
2,"sorrows,cloud",O
2,what,O
2,is,O
2,actually,O
2,at,O
2,"hand,",O
2,since,O
2,to,O
2,such,O
2,people,O
2,even,O
2,in,O
2,earliest,O
2,childhood,O
2,any,O
2,turn,O
2,in,O
2,the,O
2,wheel,O
2,of,O
2,sensation,O
2,has,O
2,the,O
2,power,O
2,to,O
2,crystallise,O
2,and,O
2,transfix,O
2,the,O
2,moment,O
2,upon,O
2,which,O
2,its,O
2,gloom,O
2,or,O
2,radiance,O
2,"rests,",O
2,James,O
2,"Ramsay,",O
2,sitting,O
2,on,O
2,the,O
2,floor,O
2,cutting,O
2,out,O
2,pictures,O
2,from,O
2,the,O
2,illustrated,O
2,catalogue,O
2,of,O
2,the,O
2,Army,O
2,and,O
2,Navy,O
2,"stores,",O
2,endowed,O
2,the,O
2,picture,O
2,of,O
2,a,O
2,"refrigerator,",O
2,as,O
2,his,O
2,mother,O
2,"spoke,",O
2,with,O
2,heavenly,O
2,bliss.,O
2,It,O
2,was,O
2,fringed,O
2,with,O
2,joy.,O
2,The,O
2,"wheelbarrow,",O
2,the,O
2,"lawnmower,",O
2,the,O
2,sound,O
2,of,O
2,poplar,O
2,"trees,",O
2,leaves,O
2,whitening,O
2,before,O
2,"rain,",O
2,rooks,O
2,"cawing,",O
2,brooms,O
2,"knocking,",O
2,dresses,O
2,rustling-,O
2,-all,O
2,these,O
2,were,O
2,so,O
2,coloured,O
2,and,O
2,distinguished,O
2,in,O
2,his,O
2,mind,O
2,that,O
2,he,O
2,had,O
2,already,O
2,his,O
2,private,O
2,"code,",O
2,his,O
2,secret,O
2,"language,",O
2,though,O
2,he,O
2,appeared,O
2,the,O
2,image,O
2,of,O
2,stark,O
2,and,O
2,uncompromising,O
2,"severity,",O
2,with,O
2,his,O
2,high,O
2,forehead,O
2,and,O
2,his,O
2,fierce,O
2,blue,O
2,"eyes,",O
2,impeccably,O
2,candid,O
2,and,O
2,"pure,",O
2,frowning,O
2,slightly,O
2,at,O
2,the,O
2,sight,O
2,of,O
2,human,O
2,"frailty,",O
2,so,O
2,that,O
2,his,O
2,"mother,",O
2,watching,O
2,him,O
2,guide,O
2,his,O
2,scissors,O
2,neatly,O
2,round,O
2,the,O
2,"refrigerator,",O
2,imagined,O
2,him,O
2,all,O
2,red,O
2,and,O
2,ermine,O
2,on,O
2,the,O
2,Bench,O
2,or,O
2,directing,O
2,a,O
2,stern,O
2,and,O
2,momentous,O
2,enterprise,O
2,in,O
2,some,O
2,crisis,O
2,of,O
2,public,O
2,affairs.,O
3,"""But,""",O
3,said,O
3,his,O
3,"father,",O
3,stopping,O
3,in,O
3,front,O
3,of,O
3,the,O
3,drawing-room,O
3,"window,",O
3,"""it",O
3,won't,O
3,be,O
3,"fine.""",O
4,Had,O
4,there,O
4,been,O
4,an,O
4,axe,O
4,"handy,",O
4,a,O
4,"poker,",O
4,or,O
4,any,O
4,weapon,O
4,that,O
4,would,O
4,have,O
4,gashed,O
4,a,O
4,hole,O
4,in,O
4,his,O
4,father's,O
4,breast,O
4,and,O
4,killed,O
4,"him,",O
4,there,O
4,and,O
4,"then,",O
4,James,O
4,would,O
4,have,O
4,seized,O
4,it.,O
4,Such,O
4,were,O
4,the,O
4,extremes,O
4,of,O
4,emotion,O
4,that,O
4,Mr.,O
4,Ramsay,O
4,excited,O
4,in,O
4,his,O
4,children's,O
4,breasts,O
4,by,O
4,his,O
4,mere,O
4,presence;,O
4,"standing,",O
4,as,O
4,"now,",O
4,lean,O
4,as,O
4,a,O
4,"knife,",O
4,narrow,O
4,as,O
4,the,O
4,blade,O
4,of,O
4,"one,",O
4,grinning,O
4,"sarcastically,",O
4,not,O
4,only,O
4,with,O
4,the,O
4,pleasure,O
4,of,O
4,disillusioning,O
4,his,O
4,son,O
4,and,O
4,casting,O
4,ridicule,O
4,upon,O
4,his,O
4,"wife,",O
4,who,O
4,was,O
4,ten,O
4,thousand,O
4,times,O
4,better,O
4,in,O
4,every,O
4,way,O
4,than,O
